gpt_result,location,detail1,detail2,UMLS_normalized,category,super category,super super category
medial left lower lobe,left lower lobe,medial,,Structure of lower lobe of lung (C1261077),Lungs,,Respiratory System
medial left upper quadrant,left upper quadrant,medial,,Structure of left upper quadrant of abdomen,,,
medial right apex,right apex,medial,,Apical zone of lung,,,Respiratory System
medial right apex/right suprahilar,"medial right apex, right suprahilar",,,Apical zone of lung && Hilar,,,
medial right base,right base,medial,,Basal segment of lung (C0225704),,,
medial right hemidiaphragm,right hemidiaphragm,medial,,Right hemidiaphragm,,,Abdominal Structures
medial right lower lung,right lower lung,medial,,Right lower lung zone (C0929214),Lungs,,Respiratory System
medial right lung apex,right lung apex,medial,,Apical zone of lung,Right lung,Lungs,Respiratory System
medial right upper lobe,right upper lobe,medial,,Structure of upper lobe of lung,Right lung lobe,Lungs,Respiratory System
medial segment of the right middle lobe,right middle lobe,medial,,Structure of middle lobe of lung,Right lung lobe,,Respiratory System
medial surface of the left lung,medial surface of the left lung,,,Middle zone of lung (C0559287),,,Respiratory System
medially at the right apex,right apex,medially,,Apical zone of lung,,,Respiratory System
median,median,,,-,,,
mediastinal,mediastinal,,,Mediastinum,,,
mediastinal and hilar contours,"mediastinal contour, hilar contour",,,Mediastinum && Hilar,,,
mediastinal border,mediastinal border,,,Mediastinum,,,
mediastinal border of the right pulmonary artery,right pulmonary artery,mediastinal border,,Right pulmonary artery,,,
mediastinal border on the right,mediastinal border,right,,Mediastinum,,,
mediastinal structures,mediastinal,,,Mediastinum,,,
mediastinum,mediastinum,,,Mediastinum,,,
mid,mid,,,-,,,
mid abdomen,mid abdomen,,,Structure of mid abdomen (surface region) (C0230167),,,Abdominal Structures
mid and distal svc,svc,mid and distal,,Superior vena cava structure,,,
mid and left upper lung field,"mid lung, left upper lung",,,Middle zone of lung (C0559287) && Upper zone of lung (C0559286),Lungs,Lungs,Respiratory System
mid and lower lateral chest wall on the right,right lateral chest wall,mid,lower,Right lateral chest wall (C0818149),Chest,,
mid and lower lung,"mid lung, lower lung",,,Middle zone of lung (C0559287) && Lower zone of lung (C0559288),,,Respiratory System
mid and lower lungs,"mid lung, lower lung",,,Middle zone of lung (C0559287) && Lower zone of lung (C0559288),,,Respiratory System
mid and lower lungs bilaterally,mid and lower lungs bilaterally,,,Middle zone of lung (C0559287) && Lower zone of lung (C0559288),,,
mid and lower right lung,"mid right lung, lower right lung",,,Middle zone of lung (C0559287) && Lower zone of lung (C0559288),,,Respiratory System
mid and upper lung zone,"mid lung, upper lung",,,Middle zone of lung (C0559287) && Upper zone of lung (C0559286),Lungs,Lungs,Respiratory System
mid bodies of the stomach,bodies of the stomach,mid,,Body of stomach (C0227230),Stomach,Stomach,Abdominal Structures
mid cervical region higher,cervical region,mid higher,,Cervical region (surface region of back),,,
mid cervical spine,cervical spine,mid,,Cervical spine,,,Skeletal System
mid chest superiorly,chest,mid superiorly,,Chest,,,
mid clavicular level,clavicular,mid,,Bone structure of clavicle,,,Musculoskeletal System
mid diaphysis of the right clavicle,right clavicle,mid diaphysis,,Bone structure of clavicle,,,Musculoskeletal System
mid dorsal vertebrae,vertebrae,mid dorsal,,Body of vertebra,,,
mid esophagus,esophagus,mid,,Esophagus,,,
mid left,mid left,,,-,,,
mid left lung,mid left lung,,,Middle zone of lung (C0559287),,,Respiratory System
mid low svc,svc,mid low,,Superior vena cava structure,,,
mid lung,mid lung,,,Middle zone of lung (C0559287),,,Respiratory System
mid lung regions,mid lung regions,,,Middle zone of lung (C0559287),,,Respiratory System
mid lungs bilaterally,mid lungs bilaterally,,,Middle zone of lung (C0559287),,,
mid portion in the esophagus,esophagus,mid,,Esophagus,,,
mid portion of the esophagus,esophagus,mid,,Esophagus,,,
mid portion of the left lung,mid portion of the left lung,,,Middle zone of lung (C0559287),,,Respiratory System
mid portion of the mediastinum,mediastinum,mid,,Mediastinum,,,
mid portion of the svc,svc,mid,,Superior vena cava structure,,,
mid right atrium,right atrium,mid,,Right atrial structure,,,
mid right lung,mid right lung,,,Middle zone of lung (C0559287),,,Respiratory System
mid right ventricular,right ventricular,mid,,Right ventricular structure,,,
mid sternal,sternal,mid,,Sternum,,,Musculoskeletal System
mid stomach,stomach,mid,,Stomach structure,,,Abdominal Structures
mid subclavian vein,subclavian vein,mid,,Structure of subclavian vein,,,
mid superior vena cava,superior vena cava,mid,,Superior vena cava structure,,,
mid svc,svc,mid,,Superior vena cava structure,,,
mid svc level,svc,mid,,Superior vena cava structure,,,
mid t-spine,t-spine,mid,,Thoracic spine structure,,,Skeletal System
mid thoracic,thoracic,mid,,Bone structure of thorax,,,
mid thoracic spine,thoracic spine,mid,,Thoracic spine structure,,,Skeletal System
mid thoracic trachea,thoracic trachea,mid,,Structure of thoracic trachea,,,Respiratory System
mid thoracic vertebral,thoracic vertebral,mid,,Structure of body of thoracic vertebra,,,
mid thoracic vertebral bodies,thoracic vertebral bodies,mid,,Structure of body of thoracic vertebra,,,
mid to distal svc,svc,mid to distal,,Superior vena cava structure,,,
mid to low superior vena cava,superior vena cava,mid to low,,Superior vena cava structure,,,
mid to low svc,svc,mid to low,,Superior vena cava structure,,,
mid to lower portion of the svc,svc,mid to lower,,Superior vena cava structure,,,
mid to lower svc,svc,mid to lower,,Superior vena cava structure,,,
mid to upper svc,svc,mid to upper,,Superior vena cava structure,,,
mid trachea,trachea,mid,,Trachea,Trachea,Airways,Respiratory System
mid-svc,mid-svc,,,Superior vena cava structure,,,
mid-thoracic,mid-thoracic,,,Bone structure of thorax,,,
mid-thoracic spine,mid-thoracic spine,,,Thoracic spine structure,,,Skeletal System
mid-thoracic vertebral bodies,mid-thoracic vertebral bodies,,,Structure of body of thoracic vertebra,,,
mid-to-distal svc,svc,mid-to-distal,,Superior vena cava structure,,,
mid-to-low stomach,stomach,mid-to-low,,Stomach structure,,,Abdominal Structures
mid-to-low svc,svc,mid-to-low,,Superior vena cava structure,,,
mid-to-lower portion of the svc,svc,mid-to-lower,,Superior vena cava structure,,,
mid-to-lower svc,svc,mid-to-lower,,Superior vena cava structure,,,
mid-to-lower thoracic spine,thoracic spine,mid-to-lower,,Thoracic spine structure,,,Skeletal System
mid-to-lower thoracic vertebral bodies,thoracic vertebral bodies,mid-to-lower,,Structure of body of thoracic vertebra,,,
mid-to-upper left lung,left lung,mid-to-upper,,Lung,,,Respiratory System
mid-to-upper lungs,lungs,mid-to-upper,,Lung,Lung,Lungs,Respiratory System
mid/low svc,svc,mid/low,,Superior vena cava structure,,,
mid/lower svc,svc,mid/lower,,Superior vena cava structure,,,
middle and lower lobe,"middle lobe, lower lobe",,,Structure of middle lobe of lung && Structure of lower lobe of lung,,,Respiratory System
middle and lower lobes,"middle lobe, lower lobe",,,Structure of middle lobe of lung && Structure of lower lobe of lung,,,Respiratory System
middle lobe,middle lobe,,,Structure of middle lobe of lung,,,Respiratory System
middle mediastinum,mediastinum,middle,,Mediastinum,,,
middle parts of the stomach,stomach,middle,,Stomach structure,,,Abdominal Structures
midline,midline,,,-,,,
midline in the upper chest,upper chest,midline,,Surface region of upper chest,,,
midline of the thorax,thorax,midline,,Bone structure of thorax,,,
midline upper abdomen,upper abdomen,midline,,Upper abdomen structure (C2937240),,,Abdominal Structures
minor fissure,minor fissure,,,Minor fissure,Lung,,Respiratory System
minor fissure on the right,minor fissure on the right,,,Minor fissure,Lung,,Respiratory System
mitral annulus,mitral annulus,,,Structure of anulus fibrosus of mitral orifice,,,
near cavoatrial junction,cavoatrial junction,near,,cavoatrial junction,,,
near the lung apices,lung apices,near,,Apical zone of lung,,,Respiratory System
neoesophagus,neoesophagus,,,-,,,
oblique to the svc wall,svc wall,,,Wall of superior vena cava,,,
obtuse marginal vein,obtuse marginal vein,,,-,,,
of bowel,bowel,,,Intestines,,,
of the carina,carina,,,Structure of carina,,,Respiratory System
old thoracentesis,,,,,,,
origin of right stem bronchus,right stem bronchus,,,Bronchi,,,
origin of the svc,svc,,,Superior vena cava structure,,,
oropharynx,oropharynx,,,Entire oropharynx,,,
osseous structures,osseous structures,,,-,,,
other lung zones,lung zones,other,,Lung,,,Respiratory System
other pleural surfaces,pleural surfaces,,,Pleura,,,Respiratory System
over distal svc,svc,over distal,,Superior vena cava structure,,,
over the lower cervical spine,cervical spine,over the lower,,Cervical spine,,,Skeletal System
over the spine,spine,over,,Entire spine,,,Skeletal System
over the stomach,stomach,over,,Stomach structure,,,Abdominal Structures
overlying t7,vertebrae,overlying t7,,Body of vertebra,,,
overlying the svc,svc,overlying,,Superior vena cava structure,,,
paratracheal,paratracheal,,,Paratracheal,,,
paratracheal mediastinum,mediastinum,paratracheal,,Mediastinum,,,
partial lower lobe,lower lobe,partial,,Structure of lower lobe of lung,,Lungs,Respiratory System
particularly the eight,,,,,,,
particularly the left lower lobe,left lower lobe,,,Structure of lower lobe of lung (C1261077),Lungs,,Respiratory System
particularly the right,right,,,Right,,,
perihilar,perihilar,,,Structure of perihilar region of lung,,,
perihilar areas,perihilar,,,Structure of perihilar region of lung,,,
perihilar left lung,left lung,perihilar,,Lung,,,Respiratory System
perihilar portions of the right lung,right lung,perihilar,,Lung,Right lung,Lungs,Respiratory System
perihilar region,perihilar,,,Structure of perihilar region of lung,,,
perihilar right-sided,perihilar right-sided,,,Structure of perihilar region of lung,,,
peripheral,peripheral,,,-,,,
peripheral left upper lobe,left upper lobe,peripheral,,Structure of upper lobe of lung,,,Respiratory System
peripheral lingula,lingula,peripheral,,Lingula,,,
peripheral right lower lobe,right lower lobe,peripheral,,Structure of lower lobe of lung,,Lungs,Respiratory System
peripheral right upper lung zone,right upper lung zone,peripheral,,Upper zone of lung (C0559286),Right lung,Lungs,Respiratory System
peripherally,peripherally,,,-,,,
periphery of bilateral lungs,bilateral lungs,periphery,,Lung,,,Respiratory System
periphery of the left lung,left lung,periphery,,Lung,,,Respiratory System
periphery of the lungs,lungs,periphery,,Lung,Lung,Lungs,Respiratory System
periphery of the lungs mid field area,lungs mid field area,periphery,,Middle zone of lung (C0559287),,,Respiratory System
periphery of the right lower lung,right lower lung,periphery,,Right lower lung zone (C0929214),Lungs,,Respiratory System
peritoneal catheter,,,,,,,
pharynx,pharynx,,,Entire pharynx,,,
pleural space,pleural space,,,Pleural cavity,,,Respiratory System
pleuritic,,,,,,,
possibly bowel,bowel,,,Intestines,,,
possibly colon,colon,,,Colon structure (body structure),,,
possibly the lower most sternotomy wire,,,,-,,,
posterior,posterior,,,Bone structure of rib,,,Musculoskeletal System
posterior and 7th ribs,ribs,posterior 7th,,Bone structure of rib,Ribs,,Musculoskeletal System
posterior arch of the sixth and seventh right ribs,right ribs,posterior arch of the sixth,posterior arch of the seventh,Bone structure of rib,Right rib,Ribs,Musculoskeletal System
posterior aspect of one of the lower lobes,lower lobes,posterior,,Structure of lower lobe of lung,,Lungs,Musculoskeletal System
posterior aspect of the fourth rib,rib,posterior aspect of the fourth,,Bone structure of rib,Ribs,Ribs,Thoracic Structures
posterior aspect of the right hemithorax,right hemithorax,posterior,,Hemithoracic structure,,,Thoracic Structures
posterior chest wall,chest wall,posterior,,Chest wall structure,Chest,,
posterior compartments,posterior compartments,,,Costophrenic angle,,,
posterior costophrenic angles,costophrenic angles,posterior,,Costophrenic angle,,,Respiratory System
posterior inferior lower lung,lower lung,posterior inferior,,Lower zone of lung (C0559288),,,Respiratory System
posterior lateral left seventh rib,left rib,posterior lateral seventh,,Bone structure of rib,Left Ribs,Ribs,Musculoskeletal System
posterior left eighth rib,left rib,posterior eighth,,Bone structure of rib,Left Ribs,Ribs,Musculoskeletal System
posterior left lung base,left lung base,posterior,,Basal segment of lung (C0225704),Left Lung,Lungs,Respiratory System
posterior left sixth rib,left rib,posterior sixth,,Bone structure of rib,Left Ribs,Ribs,Musculoskeletal System
posterior lung,lung,posterior,,Lung,Lung,Lungs,Respiratory System
posterior pleural space,pleural space,posterior,,Pleural cavity,,,Respiratory System
posterior portion of the left lower lobe,left lower lobe,posterior,,Structure of lower lobe of lung (C1261077),Lungs,,Respiratory System
posterior portions of the left lower lobe,left lower lobe,posterior,,Structure of lower lobe of lung (C1261077),Lungs,,Respiratory System
posterior rib,rib,posterior,,Bone structure of rib,Ribs,Ribs,Musculoskeletal System
posterior right and 7th ribs,right ribs,posterior 7th,,Bone structure of rib,Right rib,Ribs,Musculoskeletal System
posterior right eighth rib,right rib,posterior eighth,,Bone structure of rib,Ribs,,Musculoskeletal System
posterior right fourth rib,right rib,posterior fourth,,Bone structure of rib,Ribs,,Musculoskeletal System
posterior right lung base,right lung base,posterior,,Basal segment of lung (C0225704),Right lungs,Lungs,Respiratory System
posterior right ribs,right ribs,posterior,,Bone structure of rib,Right rib,Ribs,Musculoskeletal System
posterior right seventh rib,right rib,posterior seventh,,Bone structure of rib,Ribs,,Musculoskeletal System
posterior right sixth and seventh ribs,right ribs,posterior sixth,posterior seventh,Bone structure of rib,Right rib,Ribs,Musculoskeletal System
posterior right upper,right upper,posterior,,Upper zone of lung,Lungs,Lungs,Respiratory System
posterior segment of lower lobe,lower lobe,posterior segment,,Structure of lower lobe of lung,,Lungs,Adjacent Structures
posterior shoulder,shoulder,posterior,,Shoulder,Shoulder,Shoulder,Musculoskeletal System
posterior to the sternum,sternum,posterior,,Sternum,Sternum,Sternum,Respiratory System
posterior to the trachea,trachea,posterior,,Trachea,Trachea,Airways,Respiratory System
posterior-inferior lung,lung,posterior-inferior,,Lung,Lung,Lungs,Respiratory System
posteriorly,posteriorly,,,Lung,,,Respiratory System
posteroinferior lung,lung,posteroinferior,,Lung,Lung,Lungs,Respiratory System
posterolateral and anterolateral aspects of right middle ribs,right ribs,posterolateral middle,anterolateral middle,Bone structure of rib,Right rib,Ribs,Musculoskeletal System
posterolateral and anterolateral portions of left middle ribs,left ribs,posterolateral middle,anterolateral middle,Bone structure of rib,Ribs,,Musculoskeletal System
proximal,proximal,,,,,,
proximal and vessels,"proximal, vessels",,,Descending aorta,,,
proximal descending aorta,descending aorta,proximal,,Descending aorta,,,
proximal duodenum,duodenum,proximal,,Duodenum,,,
proximal esophagus,esophagus,proximal,,Esophagus,,,Abdominal Structures
proximal fundus of the stomach,fundus of the stomach,proximal,,gastric fundus (C0017129),,,
proximal humeral,proximal humeral,,,Bone structure of proximal left humerus,,,
proximal left humerus,left humerus,proximal,,Left humerus,,,Abdominal Structures
proximal parts of the stomach,stomach,proximal,,Stomach structure,,,Abdominal Structures
proximal portion of the bodies of the stomach,bodies of the stomach,proximal,,Body of stomach (C0227230),Stomach,Stomach,Abdominal Structures
proximal pulmonary artery,pulmonary artery,proximal,,Pulmonary artery structure,,,
proximal right,proximal right,,,Right atrial structure,,,
proximal right atrium,right atrium,proximal,,Right atrial structure,,,
proximal right humerus,right humerus,proximal,,right humerus,,,
proximal small bowel,small bowel,proximal,,Stomach structure,,,Abdominal Structures
proximal stomach,stomach,proximal,,Stomach structure,,,
proximal superior vena cava,superior vena cava,proximal,,Superior vena cava structure,,,
proximal svc,svc,proximal,,Superior vena cava structure,,,
proximal thoracic esophagus,thoracic esophagus,proximal,,Thoracic esophagus,,,
proximal to its point of confluence with the subclavian vessel,subclavian vessels,proximal to its point of confluence,,Trachea,,,Respiratory System
proximal trachea,trachea,proximal,,Trachea,Trachea,Airways,Respiratory System
proximal-most svc,svc,proximal-most,,Superior vena cava structure,,,
pulmonary artery,pulmonary artery,,,Pulmonary artery structure,,,
pulmonary outflow tract,pulmonary outflow tract,,,Pulmonary artery structure,,,
pulmonary vascularity,pulmonary vascularity,,,Pulmonary vessels,,,
pulmonary vasculature,pulmonary vasculature,,,Pulmonary vessels,,,
pulmonary vessels,pulmonary vessels,,,Basal segment of lung (C0225704),,,Respiratory System
r lung base,r lung base,,,,,,
rectal,,,,-,,,
retrocardiac,retrocardiac,,,retrocardiac,,,
retrocardiac area,retrocardiac,,,retrocardiac,,,
retrocardiac clear space on the left,retrocardiac,left,,retrocardiac,,,
retrocardiac left lower lobe,left lower lobe,retrocardiac,,Structure of lower lobe of lung (C1261077),Lungs,,Respiratory System
retrocardiac left lung base,left lung base,retrocardiac,,Basal segment of lung (C0225704),Left Lung,Lungs,Respiratory System
retrocardiac lung areas,lung areas,retrocardiac,,Lung,Lungs,,Respiratory System
retrocardiac lung region,lung region,retrocardiac,,-,,,
retrocardiac on the right,retrocardiac,right,,retrocardiac,,,
retrocardiac posterior left lower lobe,left lower lobe,retrocardiac posterior,,Structure of lower lobe of lung (C1261077),Left lung lobe,Lungs,Respiratory System
retrocardiac region,retrocardiac,,,retrocardiac,,,
retrocardiac region on the left,retrocardiac,left,,retrocardiac,,,
retrocardiac space,retrocardiac,,,retrocardiac,,,
retrosternal,retrosternal,,,,,,
retrosternal clear space,retrosternal,,,,,,
retrosternal region,retrosternal,,,,,,
retrosternal space,retrosternal,,,,,,
ribs,ribs,,,Bone structure of rib,Rib,Ribs,Musculoskeletal System
right,right,,,Right,,,
right 8th rib,right rib,8th,,Bone structure of rib,Right rib,Ribs,Musculoskeletal System
right abdomen,right abdomen,,,Abdomen,Abdomen,Abdomen,Abdominal Structures
right ac joint,right ac joint,,,Structure of right acromioclavicular joint (C0818475),,,
right acromioclavicular joint,right acromioclavicular joint,,,-,,,
right and left,"right, left",,,Hemithoracic structure,Hemithorax,,Thoracic Structures
right and left hemithorax,"right hemithorax, left hemithorax",,,Hemithoracic structure,Hemithorax,,Thoracic Structures
right and left lower lobes,"right lower lobe, left lower lobe",,,Lung,Lungs,,Respiratory System
right and left lung,"right lung, left lung",,,Bone structure of rib,Ribs,,Musculoskeletal System
right anterior second rib interspace,right rib interspace,anterior second,,Bone structure of rib,Right rib,Ribs,Musculoskeletal System
right apex,right apex,,,Apical zone of lung,Lungs,,Respiratory System
right apical,right apical,,,Apical zone of lung,Lungs,Lungs,Respiratory System
right apical area,right apical,,,Apical zone of lung,Lungs,Lungs,Respiratory System
right apical lateral,right apical,lateral,,Apical zone of lung,Lungs,Lungs,Respiratory System
right apicolateral,right apicolateral,,,Right atrial structure,,,
right atrial,right atrial,,,Right atrial structure && Heart Ventricle,,,
right atrial and ventricular,"right atrial, ventricular",,,Right atrial structure,,,
right atrium,right atrium,,,Right atrial structure,,,
right atrium and ventricle,"right atrium, ventricle",,,Superior vena cava structure && Right atrial structure && Anatomical junction,,,
right atrium-svc junction,right atrium-svc junction,,,Structure of right axillary region,,,
right axilla,right axilla,,,Structure of right axillary region,,,
right axillary region,right axillary,,,Right axillary vein,,,
right axillary vein,right axillary vein,,,Basal segment of lung (C0225704),,,
right basal,right basal,,,Basal segment of lung (C0225704),Right lung,Lungs,Respiratory System
right basal medial,right basal,medial,,Basal segment of lung (C0225704),Right lung,Lungs,Respiratory System
right basal pleural space,right basal pleural space,,,Basal segment of lung (C0225704),,,
right base,right base,,,Basal segment of lung (C0225704),Lungs,,Respiratory System
right base laterally,right base,laterally,,Basal segment of lung (C0225704),,,
right base medially,right base,medially,,Basal segment of lung (C0225704),,,
right base posteriorly,right base,posteriorly,,Basal segment of lung (C0225704),,,
right basilar,right basilar,,,Basal segment of lung (C0225704),,,
right bibasilar,right bibasilar,,,Right brachiocephalic vein,,,
right brachiocephalic vein,right brachiocephalic vein,,,Structure of brachiocephalic vein && Right axillary vein,,,
right brachiocephalic/axillary vein,right brachiocephalic/axillary vein,,,Structure of brachiocephalic vein && Structure of subclavian artery,,,
right brachiocephalic/subclavian,right brachiocephalic/subclavian,,,Right breast && Structure of right axillary region,,,
right breast and axillary region,"right breast, right axillary",,,Structure of right bronchus,Airways,,Respiratory System
right bronchial,right bronchial,,,Structure of right bronchus,,,
right bronchus,right bronchus,,,Cardiac border,,,
right cardiac border,right cardiac border,,,-,,,
right cardiophrenic angle,right cardiophrenic angle,,,-,,,
right cardiophrenic region,right cardiophrenic region,,,-,,,
right cardiophrenic sulcus,right cardiophrenic sulcus,,,cavoatrial junction,,,
right cavoatrial junction,cavoatrial junction,right,,cavoatrial junction,,,
right central,right central,,,Cervical region (surface region of back) && Thoracic region (surface region of back),,,
right cervical and thoracic region,"right cervical, right thoracic",,,Cervical region (surface region of back) && Thoracic region (surface region of back),,,
right chest,right chest,,,Right side of chest,Chest,,
right chest surgical,right chest,,,Right side of chest,Chest,,
right chest tube,,,,,,,
right chest wall,right chest wall,,,Chest wall structure,Chest,,Musculoskeletal System
right clavicle,right clavicle,,,Bone structure of clavicle,Clavicles,,Musculoskeletal System
right clavicular,right clavicular,,,Structure of right clavicular region,,,
right coracoclavicular region,right coracoclavicular region,,,Right costodiaphragmatic recess,,,
right costophrenic,right costophrenic,,,Right costodiaphragmatic recess,,,
right costophrenic angle,right costophrenic angle,,,Right costodiaphragmatic recess,,,
right costophrenic sinus,right costophrenic sinus,,,Right costodiaphragmatic recess,,,
right costophrenic sulcus,right costophrenic sulcus,,,Right costodiaphragmatic recess,,,
right descending pulmonary artery,right pulmonary artery,descending,,Right pulmonary artery,,,
right diaphragm,right diaphragm,,,Right Portion of the Diaphragm,Diaphragm,,Abdominal Structures
right diaphragmatic region,right diaphragmatic region,,,Apical zone of lung,Lungs,,Respiratory System
right far apical region,right apical,far,,Apical zone of lung,Lungs,Lungs,Respiratory System
right femoral,right femoral,,,Bone structure of rib,Ribs,,Musculoskeletal System
right fifth rib,right rib,fifth,,Bone structure of rib,Right rib,Ribs,Musculoskeletal System
right first costochondral junction,right first costochondral junction,,,Fissure of lung,,,
right fissural,right fissural,,,Fissure of lung,,,
right fissure,right fissure,,,Fissure of lung,Fissure of lung,Lung,Respiratory System
right flank,right flank,,,Bone structure of rib,Ribs,,Musculoskeletal System
right fourth rib,right rib,fourth,,Bone structure of rib,Right rib,Ribs,Musculoskeletal System
right fourth rib posteriorly,right rib posteriorly,fourth,,Right glenohumeral joint,,,
right glenohumeral joint,right glenohumeral joint,,,Structure of right glenoid,,,
right glenoid,right glenoid,,,Right side of heart,,,
right heart,right heart,,,Cardiac border,,,
right heart border,right heart border,,,Cardiac border,Hemithorax,,Thoracic Structures
right hemi thorax,right hemithorax,,,Hemithoracic structure,Hemithorax,,Thoracic Structures
right hemidiaphragm,right hemidiaphragm,,,Right hemidiaphragm,Diaphragm,,Abdominal Structures
right hemidiaphragm medially,right hemidiaphragm,medially,,Right hemidiaphragm,Diaphragm,,Abdominal Structures
right hemidiaphragmatic,right hemidiaphragmatic,,,Hemithoracic structure,Hemithorax,,Thoracic Structures
right hemithorax,right hemithorax,,,Hemithoracic structure,Hemithorax,,Thoracic Structures
right hemithorax base,right hemithorax,base,,Hemithoracic structure,Hemithorax,,Thoracic Structures
right hemithorax mid lung field,right hemithorax,mid lung field,,Hemithoracic structure,Hemithorax,,Thoracic Structures
right hila,right hila,,,Hilar,Lung region,,Respiratory System
right hilar,right hilar,,,Hilum C0929176 && Structure of perihilar region of lung,,,
right hilar and perihilar,"right hilar, right perihilar",,,Hilar,Lung region,,Respiratory System
right hilar lower region,right hilar lower region,,,Hilar,Lung region,,Respiratory System
right hilar region,right hilar region,,,right hilum,Hilar,Lung region,Respiratory System
right hilum,right hilum,,,Hilar,Lung region,,Respiratory System
right hilus,right hilus,,,right hilum,Hilar,Lung region,Respiratory System
right humeral,right humeral,,,Right humerus,,,
right humeral diaphysis,right humeral,diaphysis,,Right humerus,,,
right humeral surgical,,,,Right humerus,,,
right humerus,right humerus,,,right humerus,,,
right hypochrondriac region,right hypochrondriac,,,Hilar,,,
right infrahilar,right infrahilar,,,Hilar,,,
right infrahilar area,right infrahilar area,,,Hilar,,,
right infrahilar region,right infrahilar region,,,Interlobar part of right pulmonary artery,,,
right interlobar artery,right interlobar artery,,,Fissure of lung,,,
right interlobar fissures,right interlobar fissures,,,Fissure of lung,Fissure of lung,Lung,Respiratory System
right internal jugular,right internal jugular,,,Right internal jugular vein,,,
right internal jugular line,right internal jugular,,,Right internal jugular vein,,,
right internal jugular sheath location,right internal jugular,,,Right internal jugular vein,,,
right internal jugular vein,right internal jugular vein,,,Right internal jugular vein,,,
right lateral,right lateral,,,pleural cavity,Pleural,,Respiratory System
right lateral and posterior pleural sinus,pleural sinus,right lateral,right posterior,pleural cavity,Pleural,,Respiratory System
right lateral and posterior pleural space,pleural space,right lateral,right posterior,Pleural cavity,,,Respiratory System
right lateral chest wall,right lateral chest wall,,,Right lateral chest wall (C0818149),Chest,,Respiratory System
right lateral lung,right lung,lateral,,Lung,Right lung,Lungs,Respiratory System
right lateral lung bases,right lung bases,lateral,,Basal segment of lung (C0225704),Right lung,Lungs,Respiratory System
right lateral mid lung,right mid lung,lateral,,Middle zone of lung (C0559287),Right lung,Lungs,Respiratory System
right lateral pleural sinus,right lateral pleural sinus,,,Costophrenic angle,,,
right lateral posterior costophrenic angle,right lateral posterior costophrenic angle,posterior,,Rib Cage,Ribs,,Musculoskeletal System
right lateral rib cage,right rib cage,lateral,,Rib Cage,Right rib,Ribs,Musculoskeletal System
right lateral upper abdominal wall,abdominal wall,right lateral upper,,Upper zone of lung (C0559286),Lungs,,Respiratory System
right lateral upper lung,right upper lung,lateral,,Upper zone of lung (C0559286),Right lung,Lungs,Respiratory System
right lower,right lower,,,Middle zone of lung (C0559287) && Lower zone of lung (C0559288),Lungs,,Respiratory System
right lower and medial lung,"right lower lung, right medial lung",,,Structure of lower lobe of lung && Structure of middle lobe of lung,Lungs,,Respiratory System
right lower and middle lobes,"right lower lobe, right middle lobe",,,Chest,,,
right lower chest,right lower chest,,,Chest,,,
right lower chest wall,right lower chest wall,,,Chest wall structure,Chest,,
right lower extremity,right lower extremity,,,Hemithoracic structure,Hemithorax,,Thoracic Structures
right lower hemithorax,right hemithorax,lower,,Hemithoracic structure,Hemithorax,,Thoracic Structures
right lower hemithorax medially,right hemithorax,lower medially,,Hemithoracic structure,Hemithorax,,Thoracic Structures
right lower lateral hemithorax,right hemithorax,lower lateral,,Hemithoracic structure,Hemithorax,,Thoracic Structures
right lower lobe,right lower lobe,,,Structure of lower lobe of lung,Right lung lobe,,Respiratory System
right lower lobe abscess,right lower lobe,,,Structure of lower lobe of lung,Right lung lobe,,Respiratory System
right lower lobe medial,right lower lobe,medial,,Structure of lower lobe of lung,Right lung lobe,,Respiratory System
right lower lobe medially,right lower lobe,medially,,Structure of lower lobe of lung,Right lung lobe,,Respiratory System
right lower lobes,right lower lobes,,,Structure of lower lobe of lung,Lungs,,Respiratory System
right lower lung,right lower lung,,,Right lower lung zone (C0929214),Right lung,Lungs,Respiratory System
right lower lung field,right lower lung field,,,Lower zone of lung (C0559288),Lungs,,Respiratory System
right lower lung zone,right lower lung zone,,,Lower zone of lung (C0559288),Lungs,,Respiratory System
right lower lungs,right lower lungs,,,Lower zone of lung (C0559288),Lungs,,Respiratory System
right lower medial lung,right lower lung,medial,,Right lower lung zone (C0929214),Right lung,Lungs,Respiratory System
right lower paracardiac region,right lower paracardiac region,,,Pleural cavity,Pleural,,Respiratory System
right lower pleural space,right lower pleural space,,,Hilar,Lung region,,Respiratory System
right lower pole of the hilus,right lower pole of the hilus,,,Tracheobronchial angle,Airways,,Respiratory System
right lower tracheobronchial angle,tracheobronchial angle,right lower,,Lung,Lungs,,Respiratory System
right lung,right lung,,,Lung,Right lung,Lungs,Respiratory System
right lung and chest wall,"right lung, chest wall",,,Chest wall structure,Chest,,Respiratory System
right lung apex,right lung apex,,,Apical zone of lung,Right lung,Lungs,Respiratory System
right lung base,right lung base,,,Basal segment of lung (C0225704),Right lungs,Lungs,Respiratory System
right lung base medially,right lung base,medially,,Basal segment of lung (C0225704),Right lungs,Lungs,Respiratory System
right lung bases,right lung bases,,,Basal segment of lung (C0225704),Right lung,Lungs,Respiratory System
right lung basilar,right lung basilar,,,Basal segment of lung (C0225704),Right lung lobe,,Respiratory System
right lung lower lobe,right lung lower lobe,,,Right major fissure (C0929209),,,
