raw_data,GT Entity (low-level),Cat (normalized obs.),super category,super super cat,Final_cat
right rib fractures,fractures,fracture,injury,pathophysiologic finding,PF
right upper lobe atelectasis,atelectasis,atelectasis,architectural distortion,pathophysiologic finding,PF
right upper lobe consolidation,consolidation,consolidation,displacement,pathophysiologic finding,PF
right upper rib cage deformity,deformity,deformity,architectural distortion,pathophysiologic finding,PF
right-sided effusion,effusion,effusion,fluid disorder,pathophysiologic finding,PF
right-sided pleural effusion,effusion,effusion,fluid disorder,pathophysiologic finding,PF
rotatory dextroscoliosis,rotatory dextroscoliosis,rotatory dextroscoliosis,,,PF
"round atelectasis, rounded atelectasis",atelectasis,atelectasis,architectural distortion,pathophysiologic finding,PF
s-shaped scoliosis,scoliosis,scoliosis,,,PF
scar,scar,scar,,,PF
scars,scars,scar,,,PF
scar at the lung apex,scar,scar,,,PF
"scar formations, scar formation",scar,scar,,,PF
scar/fibrosis,scar/fibrosis,scar/fibrosis,,,PF
scaring,scaring,scaring,,,PF
sclerosis,sclerosis,sclerosis,,,PF
scoliosis,scoliosis,scoliosis,,,PF
scoliotic deformity,deformity,deformity,architectural distortion,pathophysiologic finding,PF
shoulder subluxation,shoulder subluxation,shoulder subluxation,,,PF
small effusions,effusions,effusion,fluid disorder,pathophysiologic finding,PF
small effusion,effusion,effusion,fluid disorder,pathophysiologic finding,PF
small left pleural effusion,effusion,effusion,fluid disorder,pathophysiologic finding,PF
small nodules,nodules,nodule,enhancement,imaging observation,PF
small pleural effusions,effusions,effusion,fluid disorder,pathophysiologic finding,PF
small pleural effusion,effusion,effusion,fluid disorder,pathophysiologic finding,PF
soft tissue air collection,air collection,air collection,,,PF
soft tissue air collections,air collections,air collection,,,PF
soft tissue air inclusions,air inclusions,air inclusion,,,PF
soft tissues and atelectasis,soft tissues and atelectasis,soft tissues and atelectasis,,,PF
soft tissue collection of air,collection of air,air collection,,,PF
soft tissue emphysema,soft tissue emphysema,soft tissue emphysema,displacement,pathophysiologic finding,PF
soft tissue gas accumulations,gas accumulation,gas accumulation,,,PF
space-occupying process,space-occupying process,space-occupying process,process,process,PF
spiculated nodule,nodule,nodule,enhancement,imaging observation,PF
spinal syndesmophytes,syndesmophytes,syndesmophyte,degenerative disorder,pathophysiologic finding,PF
splenic calcifications,calcifications,calcification,degenerative disorder,pathophysiologic finding,PF
stomach bubble,stomach bubble,stomach bubble,,,PF
subcutaneous air,air,air,,,PF
subcutaneous air collections,air collections,air collection,,,PF
subcutaneous emphysema,subcutaneous emphysema,subcutaneous emphysema,displacement,pathophysiologic finding,PF
subcutaneous gas,gas,gas,,,PF
subdiaphragmatic air,air,air,,,PF
subdiaphragmatic free air,free air,free air,,,PF
subdiaphragmatic gas,gas,gas,,,PF
subluxation,subluxation,subluxation,,,PF
subpleural scar,scar,scar,,,PF
subpulmonic effusion,effusion,effusion,fluid disorder,pathophysiologic finding,PF
subpulmonic free air,free air,free air,,,PF
subpulmonic pleural effusion,effusion,effusion,fluid disorder,pathophysiologic finding,PF
subpulmonic right pleural effusion,effusion,effusion,fluid disorder,pathophysiologic finding,PF
subq air,air,air,,,PF
subsegmental atelectasis,subsegmental atelectasis,subsegmental atelectasis,architectural distortion,pathophysiologic finding,PF
superimposed consolidation,consolidation,consolidation,displacement,pathophysiologic finding,PF
superimposed process,superimposed process,superimposed process,process,process,PF
supraclavicular gas,gas,gas,,,PF
surgical fracture,fracture,fracture,injury,pathophysiologic finding,PF
syndesmophytes,syndesmophytes,syndesmophyte,degenerative disorder,pathophysiologic finding,PF
t8 compression fracture,compression fracture,compression fracture,injury,pathophysiologic finding,PF
tension,tension,tension,,,PF
tension component,tension component,tension component,,,PF
tension physiology,tension physiology,tension physiology,,,PF
thoracic compression deformities,compression deformities,compression deformity,architectural distortion,pathophysiologic finding,PF
thoracic compression fractures,compression fractures,compression fracture,injury,pathophysiologic finding,PF
thoracic scoliosis,scoliosis,scoliosis,,,PF
thoracic vertebral compression fractures,compression fractures,compression fracture,injury,pathophysiologic finding,PF
thoracolumbar scoliosis,scoliosis,scoliosis,,,PF
thyroid mass,mass,mass,enhancement,imaging observation,PF
tiny left pneumothorax,pneumothorax,pneumothorax,respiratory disorder,pathophysiologic finding,PF
trace effusions,effusions,effusion,fluid disorder,pathophysiologic finding,PF
trace effusion,effusion,effusion,fluid disorder,pathophysiologic finding,PF
trace pleural effusions,effusions,effusion,fluid disorder,pathophysiologic finding,PF
tracheal deformity,deformity,deformity,architectural distortion,pathophysiologic finding,PF
tracheobronchial tree calcification,calcification,calcification,degenerative disorder,pathophysiologic finding,PF
tracheomegaly,tracheomegaly,tracheomegaly,,,PF
upper abdominal gas pattern,gas pattern,gas pattern,,,PF
upper lobe redistribution of blood flow,redistribution,redistribution,,,PF
upper zone re-distribution,re-distribution,redistribution,,,PF
upper zone redistribution,redistribution,redistribution,,,PF
upper zone vascular redistribution,redistribution,redistribution,,,PF
upward retraction of the hila,upward retraction,upward retraction,,,PF
upward retraction of the right hila,upward retraction,upward retraction,,,PF
upward traction of the right hilum,upward traction,upward traction,,,PF
valvular calcifications,calcifications,calcification,degenerative disorder,pathophysiologic finding,PF
vascular calcifications,calcifications,calcification,degenerative disorder,pathophysiologic finding,PF
vascular calcification,calcification,calcification,degenerative disorder,pathophysiologic finding,PF
"vascular engorgement, vascular engorgements",engorgement,engorgement,,,PF
vascular injury,injury,injury,,,PF
vascular redistribution,redistribution,redistribution,,,PF
venous engorgement,engorgement,engorgement,,,PF
ventilated lung parenchyma,ventilate,ventilate,,,PF
ventilation,ventilation,ventilation,,,PF
vertebral compression fractures,compression fractures,compression fracture,injury,pathophysiologic finding,PF
vertebroplasty changes,vertebroplasty changes,vertebroplasty change,,,PF
veterbral compression deformities,compression deformities,compression deformity,architectural distortion,pathophysiologic finding,PF
wedge compression deformity,compression deformity,compression deformity,architectural distortion,pathophysiologic finding,PF
wedge compression deformities,compression deformities,compression deformity,architectural distortion,pathophysiologic finding,PF
wedge deformity,deformity,deformity,architectural distortion,pathophysiologic finding,PF
wedge fractures,fractures,fracture,injury,pathophysiologic finding,PF
worsening,worsening,worsening,,,PF
acute pulm process,process,process,,,PF
acute pulmonary process,process,process,,,PF
anterior chest fluid collection,fluid collection,fluid collection,fluid disorder,pathophysiologic finding,PF
bronchial obstruction,bronchial obstruction,bronchial obstruction,,,PF
hilar process,process,process,,,PF
infiltration,infiltration,infiltration,,,PF
left ventricular predominance,left ventricular predominance,left ventricular predominance,,,PF
obstruction,obstruction,obstruction,,,PF
parenchymal process,process,process,,,PF
schf,ScHF,supracondylar humerus fracture,,,PF
abnormal anatomy,abnormal anatomy,abnormal anatomy,,,PF
air within the fundus,air,air,,,PF
anastomotic stricture,anastomotic stricture,anastomotic stricture,,,PF
fx,fx,fracture,,,PF
linear radiopaque structure,radiopaque structure,radiopaque structure,,,LF
shoulder dislocation,shoulder dislocation,shoulder dislocation,,,PF
sternal dehiscence,sternal dehiscence,sternal dehiscence,,,PF
hydropneumothorax/empyema,hydropneumothorax/empyema,hydropneumothorax/empyema,,,PF/CF
abdominal tenderness,abdominal tenderness,abdominal tenderness,,,COF
abnormal breath sounds,abnormal breath sounds,abnormal breath sound,,,COF
abnormal lung exam,abnormal lung exam,abnormal lung exam,,,COF
acidosis,acidosis,acidosis,,,COF
adventitial breath sounds,adventitial breath sounds,adventitial breath sound,,,COF
air leak,air leak,air leak,,,COF
anemic,anemic,anemic,,,COF
bacteremia,bacteremia,bacteremia,,,COF
bandemia,bandemia,bandemia,,,COF
bibasilar rales,bibasilar rales,bibasilar rale,,,COF
bilateral crackles,bilateral crackles,bilateral crackle,,,COF
blood cultures,blood cultures,blood culture,,,COF
blood pressure,blood pressure,blood pressure,,,COF
blood sugar,blood sugar,blood sugar,,,COF
blood sugars,blood sugars,blood sugar,,,COF
bp dropping,bp dropping,blood pressure drop,,,COF
bradycardia,bradycardia,bradycardia,,,COF
breath sounds,breath sounds,breath sound,,,COF
breath sounds,breath sounds,breath sound,,,COF
bun/cr,bun/cr,bun/cr,,,COF
cd4 count,CD4 count,CD4 count,,,COF
chest wall tenderness,chest wall tenderness,chest wall tenderness,,,COF
clostridium difficile,clostridium difficile,clostridium difficile,,,COF
co2 retention,CO2 retention,CO2 retention,,,COF
cr,Cr,Cr,,,COF
crackles,crackles,crackle,,,COF
creatinine,creatinine,creatinine,,,COF
decreased breath sounds,decreased breath sounds,decrease breath sound,,,COF
desat,desat,desaturation,,,COF
desating,desating,desaturation,,,COF
desats,desats,desaturation,,,COF
desats to 70s,desats to 70s,desaturation to 70s,,,COF
desaturation,desaturation,desaturation,,,COF
desaturations,desaturations,desaturation,,,COF
diminished breath sounds,diminished breath sounds,diminish breath sound,,,COF
diminished bs,diminished bs,diminish breath sound,,,COF
ef,ef,ejection fraction,,,COF
ejection fraction,ejection fraction,ejection fraction,,,COF
electrolyte imbalance,electrolyte imbalance,electrolyte imbalance,,,COF
elevated white count,elevated white count,elevate white count,,,COF
febrile neutropenia,febrile neutropenia,febrile neutropenia,,,COF
fev1,fev1,fev1,,,COF
fever,fever,fever,,,COF
fever spike,fever spike,fever spike,,,COF
fevers,fevers,fever,,,COF
gram-negative rods,gram-negative rods,gram-negative rods,,,COF
heart rate,heart rate,heart rate,,,COF
hematocrit,hematocrit,hematocrit,,,COF
hematocrit drop,hematocrit drop,hematocrit drop,,,COF
high fever,high fever,high fever,,,COF
high-grade fevers,high-grade fevers,high-grade fever,,,COF
hypercalcemia,hypercalcemia,hypercalcemia,,,COF
hypercarbia,hypercarbia,hypercarbia,,,COF
hyperglycemia,hyperglycemia,hyperglycemia,,,COF
hyperkalemia,hyperkalemia,hyperkalemia,,,COF
hypertension,hypertension,hypertension,,,COF
hypoglycemia,hypoglycemia,hypoglycemia,,,COF
hypotension,hypotension,hypotension,,,COF
hypotensive,hypotensive,hypotensive,,,COF
hypoxemia,hypoxemia,hypoxemia,,,COF
hypoxemic,hypoxemic,hypoxemic,,,COF
hypoxia,hypoxia,hypoxia,,,COF
hypoxic,hypoxic,hypoxic,,,COF
inr,INR,INR,,,COF
inspiratory crackles,inspiratory crackles,inspiratory crackle,,,COF
inspiratory crackling,inspiratory crackling,inspiratory crackle,,,COF
inspiratory volumes,inspiratory volumes,inspiratory volume,measurement,imaging observation,LF
jvp,jvp,jvp,,,COF
k,k,k,,,COF
lactate,lactate,lactate,,,COF
lactic acidosis,lactic acidosis,lactic acidosis,,,COF
leukocytosis,leukocytosis,leukocytosis,,,COF
liver function tests,liver function tests,liver function test,,,COF
low blood pressure,low blood pressure,low blood pressure,,,COF
low sats,low sats,low saturation,,,COF
low-grade fever,low-grade fever,low-grade fever,,,COF
lung sounds,lung sounds,lung sound,,,COF
lvef,lvef,lvef,,,COF
mental status,mental status,mental status,,,COF
mpap,mPAP,mPAP,,,COF
mrsa bacteremia,MRSA bacteremia,MRSA bacteremia,,,COF
o2 requirement,o2 requirement,o2 requirement,,,COF
o2 requirements,o2 requirements,o2 requirement,,,COF
o2 sat,o2 sat,o2 saturation,,,COF
o2 sats,o2 sats,o2 saturation,,,COF
o2 saturation,o2 saturation,o2 saturation,,,COF
overload,overload,overload,,,COF
oxygen desaturation event,oxygen desaturation event,oxygen desaturation event,,,COF
oxygen desaturations,oxygen desaturations,oxygen desaturations,,,COF
oxygen saturation,oxygen saturation,oxygen saturation,,,COF
pco2,pco2,pco2,,,COF
peak pressure,peak pressure,peak pressure,,,COF
pitting edema,pitting edema,pitting edema,,,COF
positive blood culture,positive blood culture,positive blood culture,,,COF
postoperative fever,postoperative fever,postoperative fever,,,COF
pressure requirement,pressure requirement,pressure requirement,,,COF
prolonged qt,prolong qt,prolong qt,,,COF
rales,rales,rale,,,COF
reduced ef,reduced ef,reduce ejection fraction,,,COF
renal function,renal function,renal function,,,COF
requirement of oxygen,requirement of oxygen,requirement of oxygen,,,COF
respiratory acidosis,respiratory acidosis,respiratory acidosis,,,COF
respiratory alkalosis,respiratory alkalosis,respiratory alkalosis,,,COF
respiratory desaturations,respiratory desaturations,respiratory desaturations,,,COF
respiratory rate,respiratory rate,respiratory rate,,,COF
respiratory stridor,respiratory stridor,respiratory stridor,,,COF
rhonchi,rhonchi,rhonchus,,,COF
rhonchorous,rhonchorous,rhonchorous,,,COF
right basilar crackles,crackles,crackle,,,COF
right upper quadrant tenderness,right upper quadrant tenderness,right upper quadrant tenderness,,,COF
right ventricular function,right ventricular function,right ventricular function,,,COF
rll crackles,crackles,crackle,,,COF
sa02,sa02,sa02,,,COF
saturation,saturation,saturation,,,COF
saturations,saturations,saturation,,,COF
sinus tachycardia,sinus tachycardia,sinus tachycardia,,,COF
strep bacteremia,strep bacteremia,strep bacteremia,,,COF
stridor,stridor,stridor,,,COF
systemic hypertension,systemic hypertension,systemic hypertension,,,COF
tachy,tachy,tachycardia,,,COF
tachycardia,tachycardia,tachycardia,,,COF
tachycardiac,tachycardiac,tachycardiac,,,COF
tachycardic,tachycardic,tachycardic,,,COF
tachypnea,tachypnea,tachypnea,,,COF
tachypneic,tachypneic,tachypneic,,,COF
tachypnic,tachypnic,tachypnic,,,COF
temp,temp,temperature,,,COF
temperature,temperature,temperature,,,COF
tenderness,tenderness,tenderness,,,COF
upper airway noise,upper airway noise,upper airway noise,,,COF
urine output,urine output,urine output,,,COF
volume status,volume status,volume status,,,COF
waveform,waveform,waveform,,,COF
wbc elevation,WBC elevation,WBC elevation,,,COF
weight gain,weight gain,weight gain,,,COF
weight loss,weight loss,weight loss,,,COF
wheezing,wheezing,wheezing,,,COF
wheezy,wheezy,wheezy,,,COF
white blood cell count,white blood cell count,white blood cell count,,,COF
white blood count,white blood count,white blood count,,,COF
white cell count,white cell count,white cell count,,,COF
white count,white count,white count,,,COF
c diff,c diff,clostridium difficile,,,COF
cdiff,cdiff,clostridium difficile,,,COF
cmv viremia,cmv viremia,CMV viremia,,,COF
gpc bacteremia,gpc bacteremia,gpc bacteremia,,,COF
gram-negative rod bacteremia,gram-negative rod bacteremia,Gram-negative rod bacteremia,,,COF
gram-negative rod bacteria,gram-negative rod bacteria,Gram-negative rod bacteria,,,COF
hcv,hcv,hepatitis C virus,,,COF
hiv,hiv,HIV,,,COF
htn,htn,hypertension,,,COF
igg,igg,IgG,,,COF
obesity,obesity,obesity,,,COF
pancytopenia,pancytopenia,pancytopenia,,,COF
pea,pea,pulseless electrical activity,,,COF
septicemia,septicemia,septicemia,,,COF
troponinemia,troponinemia,troponinemia,,,COF
c diff,c diff,clostridium difficile,,,COF
cdiff,cdiff,clostridium difficile,,,COF
cmv viremia,cmv viremia,CMV viremia,,,COF
gpc bacteremia,gpc bacteremia,gpc bacteremia,,,COF
gram-negative rod bacteremia,gram-negative rod bacteremia,Gram-negative rod bacteremia,,,COF
gram-negative rod bacteria,gram-negative rod bacteria,Gram-negative rod bacteria,,,COF
hcv,hcv,hepatitis C virus,,,COF
hiv,hiv,HIV,,,COF
htn,htn,hypertension,,,COF
igg,igg,IgG,,,COF
obesity,obesity,obesity,,,COF
pancytopenia,pancytopenia,pancytopenia,,,COF
pea,pea,pulseless electrical activity,,,COF
septicemia,septicemia,septicemia,,,COF
troponinemia,troponinemia,troponinemia,,,COF
hiv/aids,hiv/aids,hiv/aids,,,COF/NCD
hiv/aids,hiv/aids,hiv/aids,,,COF/NCD
a fib,a fib,atrial fibrillation,,,NCD
a-fib,a-fib,atrial fibrillation,,,NCD
a-flutter,a-flutter,atrial flutter,,,NCD
acute appendicitis,acute appendicitis,acute appendicitis,,,NCD
acute decompensation,acute decompensation,acute decompensation,,,NCD
acute kidney insufficiency,acute kidney insufficiency,acute kidney insufficiency,,,NCD
acute myocardial infarction,acute myocardial infarction,acute myocardial infarction,,,NCD
acute renal failure,acute renal failure,acute renal failure,,,NCD
af,af,atrial fibrillation,,,NCD
afebrile,afebrile,atrial fibrillation,,,NCD
afib,afib,atrial fibrillation,,,NCD
afib with rvr,afib with rvr,atrial fibrillation with rapid ventricular response,,,NCD
aflutter,aflutter,atrial flutter,,,NCD
alcoholic cirrhosis,alcoholic cirrhosis,alcoholic cirrhosis,,,NCD
allergic asthma,allergic asthma,allergic asthma,,,NCD
allergic reaction,allergic reaction,allergic reaction,,,NCD
anaphylaxis,anaphylaxis,anaphylaxis,,,NCD
anemia,anemia,anemia,,,NCD
arrest,arrest,arrest,,,NCD
arrests,arrests,arrest,,,NCD
arrhythmias,arrhythmias,arrhythmia,,,NCD
asthma,asthma,asthma,,,NCD
asthma exacerbation,asthma exacerbation,asthma exacerbation,,,NCD
asthma flare,asthma flare,asthma flare,,,NCD
asthma flareup,asthma flareup,asthma flareup,,,NCD
atrial fibrillation,atrial fibrillation,atrial fibrillation,,,NCD
atrial flutter,atrial flutter,atrial flutter,,,NCD
autoimmune hepatitis,autoimmune hepatitis,autoimmune hepatitis,,,NCD
av block,Av block,Av block,,,NCD
axillary abscess,axillary abscess,axillary abscess,,,NCD
brain metastases,brain metastases,brain metastasis,,,NCD
calciphylaxis,calciphylaxis,calciphylaxis,,,NCD
carcinomatosis,carcinomatosis,carcinomatosis,,,NCD
cardiogenic shock,cardiogenic shock,cardiogenic shock,,,NCD
cardiomyopathy,cardiomyopathy,cardiomyopathy,,,NCD
cardiorespiratory insufficiency,cardiorespiratory insufficiency,cardiorespiratory insufficiency,,,NCD
cellulitis,cellulitis,cellulitis,,,NCD
cholangitis,cholangitis,cholangitis,,,NCD
cholecystitis,cholecystitis,cholecystitis,,,NCD
chronic kidney disease,chronic kidney disease,chronic kidney disease,,,NCD
chronic pancreatitis,chronic pancreatitis,chronic pancreatitis,,,NCD
cirrhosis,cirrhosis,cirrhosis,,,NCD
ckd diabetic nephropathy,ckd diabetic nephropathy,ckd diabetic nephropathy,,,NCD
ckd stage v,ckd stage v,ckd stage v,,,NCD
ckd4,ckd4,ckd4,,,NCD
complete heart block,complete heart block,complete heart block,,,NCD
crohns,crohns,crohn,,,NCD
cva,CVA,CVA,,,NCD
decompensated cirrhosis,decompensated cirrhosis,decompensated cirrhosis,,,NCD
deep vein thrombosis,deep vein thrombosis,deep vein thrombosis,,,NCD
delirium,delirium,delirium,,,NCD
diabetes mellitus,diabetes mellitus,diabetes mellitus,,,NCD
diabetic ketoacidosis,diabetic ketoacidosis,diabetic ketoacidosis,,,NCD
dilated cardiomyopathy,dilated cardiomyopathy,dilate cardiomyopathy,,,NCD
disseminated malignancy,disseminated malignancy,disseminate malignancy,,,NCD
diverticulitis,diverticulitis,diverticulitis,,,NCD
dm1,dm1,dm1,,,NCD
encephalopathy,encephalopathy,encephalopathy,,,NCD
end-stage liver disease,end-stage liver disease,end-stage liver disease,,,NCD
endocarditis,endocarditis,endocarditis,,,NCD
epidural abscess,epidural abscess,epidural abscess,,,NCD
epilepsy,epilepsy,epilepsy,,,NCD
esophageal adenocarcinoma,esophageal adenocarcinoma,esophageal adenocarcinoma,,,NCD
esophageal cancer,esophageal cancer,esophageal cancer,,,NCD
esophageal carcinoma,esophageal carcinoma,esophageal carcinoma,,,NCD
esophageal stricture,esophageal stricture,esophageal stricture,,,NCD
failing kidney transplant,failing kidney transplant,fail kidney transplant,,,NCD
fat embolism syndrome,fat embolism syndrome,fat embolism syndrome,,,NCD
fsbgs,FSBGS,FSBGS,,,NCD
gnr sepsis,gnr sepsis,gnr sepsis,,,NCD
hcv cirrhosis,hcv cirrhosis,hcv cirrhosis,,,NCD
hep c cirrhosis,hep c cirrhosis,hep c cirrhosis,,,NCD
hepatic encephalopathy,hepatic encephalopathy,hepatic encephalopathy,,,NCD
hypercapnic respiratory failure,hypercapnic respiratory failure,hypercapnic respiratory failure,,,NCD
hypercarbic respiratory failure,hypercarbic respiratory failure,hypercarbic respiratory failure,,,NCD
hypothyroidism,hypothyroidism,hypothyroidism,,,NCD
hypovolemic shock,hypovolemic shock,hypovolemic shock,,,NCD
hypoxemic respiratory failure,hypoxemic respiratory failure,hypoxemic respiratory failure,,,NCD
hypoxic respiratory distress,hypoxic respiratory distress,hypoxic respiratory distress,,,NCD
hypoxic respiratory failure,hypoxic respiratory failure,hypoxic respiratory failure,,,NCD
inflammatory arthropathy,inflammatory arthropathy,inflammatory arthropathy,,,NCD
intracranial hemorrhage,intracranial hemorrhage,intracranial hemorrhage,,,NCD
ischemic colitis,ischemic colitis,ischemic colitis,,,NCD
joint infection,joint infection,joint infection,,,NCD
lead infection,lead infection,lead infection,,,NCD
liver disease,liver disease,liver disease,,,NCD
liver failure,liver failure,liver failure,,,NCD
lumbar stenosis,lumbar stenosis,lumbar stenosis,,,NCD
mast cell crisis,mast cell crisis,mast cell crisis,,,NCD
mast cell degranulation,mast cell degranulation,mast cell degranulation,,,NCD
myocardial infarction,myocardial infarction,myocardial infarction,,,NCD
oliguric renal failure,oliguric renal failure,oliguric renal failure,,,NCD
osteoporosis,osteoporosis,osteoporosis,,,NCD
pancreatitis,pancreatitis,pancreatitis,,,NCD
patellar tendon rupture,patellar tendon rupture,patellar tendon rupture,,,NCD
pericarditis,pericarditis,pericarditis,,,NCD
post-viral syndrome,post-viral syndrome,post-viral syndrome,,,NCD
pyelo,pyelo,pyelonephritis,,,NCD
rapid afib,rapid afib,rapid afib,,,NCD
rapid ventricular response,rapid ventricular response,rapid ventricular response,,,NCD
reactive airway disease,reactive airway disease,reactive airway disease,,,NCD
reactive airways disease,reactive airways disease,reactive airway disease,,,NCD
renal cell carcinoma,renal cell carcinoma,renal cell carcinoma,,,NCD
renal failure,renal failure,renal failure,,,NCD
resp distres,resp distres,respiratory distress,,,NCD
resp distress,resp distress,respiratory distress,,,NCD
respiratory arrest,respiratory arrest,respiratory arrest,,,NCD
respiratory distress,respiratory distress,respiratory distress,,,NCD
rv dysfunction,RV dysfunction,RV dysfunction,,,NCD
rvr,rvr,rapid ventricular response,,,NCD
sepsis,sepsis,sepsis,,,NCD
septic knee arthritis,septic knee arthritis,septic knee arthritis,,,NCD
septic polyarthritis,septic polyarthritis,septic polyarthritis,,,NCD
septic shock,septic shock,septic shock,,,NCD
severe asthma,asthma,asthma,,,NCD
small bowel obstruction,small bowel obstruction,small bowel obstruction,,,NCD
small-bowel obstruction,small-bowel obstruction,small-bowel obstruction,,,NCD
spondyloarthropathies,spondyloarthropathies,spondyloarthropathies,,,NCD
tr,tr,tricuspid regurgitation,,,NCD
tracheobroncheomalacia,tracheobroncheomalacia,tracheobroncheomalacia,,,NCD
transplant sepsis,transplant sepsis,transplant sepsis,,,NCD
typhlitis,typhlitis,typhlitis,,,NCD
UC,UC,UC,,,NCD
urinary tract infection,urinary tract infection,urinary tract infection,,,NCD
urosepsis,urosepsis,urosepsis,,,NCD
v-fib arrest,v-fib arrest,v-fib arrest,,,NCD
viral illness,viral illness,viral illness,,,NCD
vr arrest,vr arrest,ventricular fibrillation arrest,,,SYM
acute myelocytic leukemia,acute myelocytic leukemia,acute myelocytic leukemia,,,NCD
aml,aml,acute myelocytic leukemia,,,NCD
afib rvr,afib rvr,afib rvr,,,NCD
aids,aids,AIDS,,,NCD
anuric esrd,anuric esrd,anuric end stage renal disease,,,NCD
as,as,aortic stenosis,,,NCD
as/ms,as/ms,aortic stenosis/mitral stenosis,,,NCD
appendicitis,appendicitis,appendicitis,,,NCD
bipolar disease,bipolar disease,bipolar disease,,,NCD
brain mets,brain mets,brain metastasis,,,NCD
breast cancer,breast cancer,breast cancer,,,NCD
burkitt lymphoma,burkitt lymphoma,burkitt lymphoma,,,NCD
burkitts lymphoma,burkitts lymphoma,burkitts lymphoma,,,NCD
cancer,cancer,cancer,,,NCD
cauda equina syndrome,cauda equina syndrome,cauda equina syndrome,,,NCD
cerebral palsy,cerebral palsy,cerebral palsy,,,NCD
"ckd, ckd","ckd, ckd",Chronic kidney disease,,,NCD
cll,cll,chronic lymphocytic leukemia,,,NCD
c diff colitis,c diff colitis,clostridium difficile colitis,,,NCD
colitis,colitis,colitis,,,NCD
colon cancer,colon cancer,colon cancer,,,NCD
comorbidities,comorbidities,comorbidity,,,NCD
complications,complications,complication,,,NCD
complication,complication,complication,,,NCD
cad,cad,coronary artery disease,,,NCD
coronary artery disease,coronary artery disease,coronary artery disease,,,NCD
coronary disease,coronary disease,coronary disease,,,NCD
crest,crest,CREST syndrome,,,NCD
crohns disease,crohns disease,Crohn disease,,,NCD
dvts,dvts,deep vein thrombosis,,,NCD
dvt/pe,dvt/pe,deep vein thrombosis / pulmonary embolism,,,NCD
deep venous thrombosis,deep venous thrombosis,deep venous thrombosis,,,NCD
dementia,dementia,dementia,,,NCD
diabetes,diabetes,diabetes,,,NCD
diabetes insipidus,diabetes insipidus,diabetes insipidus,,,NCD
dm,dm,Diabetes Mellitus,,,NCD
dm2,dm2,Diabetes Mellitus 2,,,NCD
diabetic,diabetic,diabetic,,,NCD
dka,dka,Diabetic ketoacidosis,,,NCD
dmi,dmi,Diabetic muscle infarction,,,NCD
diabetic nephropathy,diabetic nephropathy,diabetic nephropathy,,,NCD
diverticulosis,diverticulosis,diverticulosis,,,NCD
end stage renal disease,end stage renal disease,end stage renal disease,,,NCD
esrd,esrd,end stage renal disease,,,NCD
end-stage renal disease,end-stage renal disease,end-stage renal disease,,,NCD
esophageal fistula,esophageal fistula,esophageal fistula,,,NCD
etoh hepatitis,etoh hepatitis,ethanol hepatitis,,,NCD
gerd,gerd,Gastroesophageal reflux disease,,,NCD
gout,gout,gout,,,NCD
hepc cirrhosis,hepc cirrhosis,Hepatitis C cirrhosis,,,NCD
hcc,hcc,Hepatocellular carcinoma,,,NCD
hodgkins lymphoma,hodgkins lymphoma,Hodgkin lymphoma,,,NCD
hld,hld,hyperlipidemia,,,NCD
hlp,hlp,hyperlipidemia,,,NCD
hypoventilation syndrome,hypoventilation syndrome,hypoventilation syndrome,,,NCD
iga nephropathy,iga nephropathy,IgA nephropathy,,,NCD
igg deficiency,igg deficiency,IgG deficiency,,,NCD
inflammatory arthritis,inflammatory arthritis,inflammatory arthritis,,,NCD
iddm,iddm,Insulin dependent diabetes mellitus,,,NCD
iph,iph,intraparenchymal hemorrhage,,,NCD
ischemic bowel,ischemic bowel,ischemic bowel,,,NCD
laryngeal cancer,laryngeal cancer,laryngeal cancer,,,NCD
left aca stroke,left aca stroke,left anterior cerebral artery stroke,,,NCD
lymphoma,lymphoma,lymphoma,,,NCD
mast cell activation syndrome,mast cell activation syndrome,mast cell activation syndrome,,,NCD
mast cell degranulation crisis,mast cell degranulation crisis,mast cell degranulation crisis,,,NCD
mast cell degranulation syndrome,mast cell degranulation syndrome,mast cell degranulation syndrome,,,NCD
melanoma,melanoma,melanoma,,,NCD
metastatic breast cancer,metastatic breast cancer,metastatic breast cancer,,,NCD
metastatic esophageal cancer,metastatic esophageal cancer,metastatic esophageal cancer,,,NCD
metastatic hepatocellular carcinoma,metastatic hepatocellular carcinoma,metastatic hepatocellular carcinoma,,,NCD
metastatic rcc,metastatic rcc,metastatic rcc,,,NCD
metastatic renal cancer,metastatic renal cancer,metastatic renal cancer,,,NCD
met rcc,met rcc,metastatic renal cell carcnionma,,,NCD
metastatic renal disease,metastatic renal disease,metastatic renal disease,,,NCD
morbid obesity,morbid obesity,morbid obesity,,,NCD
mdr uti,mdr uti,Multidrug Resistance Urinary Tract Infection,,,NCD
multiple comorbidities,multiple comorbidities,multiple comorbidities,,,NCD
multiple myeloma,multiple myeloma,multiple myeloma,,,NCD
myasthenia,myasthenia,myasthenia,,,NCD
myelodysplastic syndrome,myelodysplastic syndrome,myelodysplastic syndrome,,,NCD
myeloma,myeloma,myeloma,,,NCD
nephropathy,nephropathy,nephropathy,,,NCD
neurogenic bladder,neurogenic bladder,neurogenic bladder,,,NCD
nstemi,nstemi,non-st elevated myocardial infarction,,,NCD
obstructed renal transplant,obstructed renal transplant,obstructed renal transplant,,,NCD
