morphology_ori_syn,morphology_feedback,morphology_exclude,distribution_ori_syn,distribution_feedback,distribution_exclude,measure_ori_syn,measure_feedback,measure_exclude,severity_ori_syn,severity_feedback,severity_exclude,comparison_ori_syn,comparison_feedback,comparison_exclude,emerge_ori_syn,emerge_feedback,emerge_exclude,no change_ori_syn,no change_feedback,no change_exclude,improved_ori_syn,improved_feedback,improved_exclude,worsened_ori_syn,worsened_feedback,worsened_exclude,reposition_ori_syn,reposition_feedback,reposition_exclude,resolve_ori_syn,resolve_feedback,resolve_exclude,technical limitation_ori_syn,technical limitation_feedback,technical limitation_exclude,other source_ori_syn,other source_feedback,other source_exclude,past hx
posteriorly layering,"blunt, blunted, blunting",,,,,4 cm above the level of the carina,,,residual,,,,,,,,,last,,,progressive decrease,,,more dense,,,,,,,,,absence of lateral view,,,abdominal radiograph,,,
anterior,"margin, marginated, irregularly marginated",,,,,various sizes,,,minimally smaller,,,,,,,,,probably not acutely changed,,,now clear,,,more confluent,,,,,,,,,limited in the determination of the exact termination point,,,prior ct chest,,,
thin,"lucency, linear lucency, linear areas of lucency, central lucency, central rounded lucency",,,,,minimally enlarged,,,reduced,,,,,,,,,no major change,,,more clear,,,more coalescent on the right,,,,,,,,,subtle change would be difficult to detect based on a portable film,,,current radiograph,,,
crescentic,discrete,,,,,miniscule,,,slightly less dense,,,,,,,,,removed,,,less severe today,,,minimally more extensive,,,,,,,,,differences in technique and rotation of the patient,,,pet scan,,,
flowing,overdistended,,,,,3 to 6 mm,,,very reduced,,,,,,,,,similar to the most recent prior,,,healing,,,minimally lower,,,,,,,,,out of the field of view,,,outside film,,,
reticular nodular,dissecting,,,,,8 cm,,,severely increasing,,,,,,,,,similar in size from the previous study,,,now appears normal,,,minimally larger,,,,,,,,,partially obscured by cardiac motion,,,last examination,,,
micro,collapsed,,,,,9-mm,,,moderately decreased,,,,,,,,,previously noted,,,improved in the left lung,,,minimally,,,,,,,,,should be advanced for more standard position,,,multiple priors,,,
lenticular,perforated,,,,,48 cm above the carina,,,limited,,,,,,,,,no interval increase,,,minimal decrease,,,minimal,,,,,,,,,right costophrenic angle is excluded from the field of view,,,ct component of pet/ct,,,
exuberant,overt,,,,,massively enlarged,,,secondary,,,,,,,,,without significant change in position,,,progression,,,mildly progressed,,,,,,,,,left lung apex is obscured by a flexed chin,,,prior chest film,,,
slightly tortuous,engorged,,,,,18cm,,,more engorged,,,,,,,,,again appreciated,,,almost complete resolution,,,markedly worsened,,,,,,,,,excluded from the study,,,ct of the torso,,,
linearly oriented,edematous,,,,,47 cm,,,mildly engorged,,,,,,,,,do not resolve,,,minimally less extensive,,,marked enlargement,,,,,,,,,position confirmation,,,portable followup examination,,,
double lumen,,,,,,58 cm from the carina,,,markedly dilated,,,,,,,,,new,,,questionable improvement,,,lower than on the prior study,,,,,,,,,precludes assessment,,,pathology,,,
rightward deviation,,,,,,29 x 22 cm,,,mildly prominent,,,,,,,,,not as well evaluated,,,not as pronounced,,,likely increase,,,,,,,,,motion,,,initial radiograph,,,
grossly stable,,,,,,5-6 cm,,,borderline enlarged,,,,,,,,,not their overall extent,,,,,,less well seen,,,,,,,,,limiting evaluation of the lung bases,,,repeat radiograph,,,
geographically,,,,,,~ 9 mm,,,slightly overdistended,,,,,,,,,same position,,,,,,less striking,,,,,,,,,limiting evaluation of the lung bases and heart size,,,conventional chest radiographs,,,
alveolar pattern,,,,,,about 5 cm,,,extremely large,,,,,,,,,clear,,,,,,less severe,,,,,,,,,given limitation of low lung volumes and portable technique,,,ct examination,,,
circular metallic ring,,,,,,upper limits normal,,,very severe,,,,,,,,,unchanged in position,,,,,,less prominent,,,,,,,,,accentuated by ap technique and low lung volumes,,,pet/ct,,,
open circle,,,,,,15 x 13 cm,,,minimally less,,,,,,,,,as seen on prior radiographs,,,,,,larger than on the prior exam,,,,,,,,,limiting the evaluation,,,scout film from prior ct,,,
small linear,,,,,,58 cm,,,minimally decreased,,,,,,,,,also seen on the prior study,,,,,,involving more substantial amount,,,,,,,,,tip off the inferior borders of the film,,,current study,,,
tapered configuration,,,,,,5 cm above the carina,,,less consolidated,,,,,,,,,some volume loss,,,,,,interval from the prior examination,,,,,,,,,esophageal catheter tip out of view,,,transbronchial biopsy,,,
elongation,,,,,,3 and 4 cm,,,early acute,,,,,,,,,not abated,,,,,,interval development,,,,,,,,,portably,,,,,,
kyphotic angulation,,,,,,48 cm above,,,complete,,,,,,,,,essentially the same,,,,,,interval decrease,,,,,,,,,not fully upright film,,,,,,
sharp lower margin,,,,,,41 cm,,,unchanged,,,,,,,,,no decrease,,,,,,increasing slowly,,,,,,,,,somewhat obscured,,,,,,
minor,,,,,,49 cm,,,gentle,,,,,,,,,relatively similar,,,,,,increasing positive pressure,,,,,,,,,not well seen,,,,,,
tapered,,,,,,minimally lower,,,,,,,,,,,,similar to prior study,,,,,,increased on the right,,,,,,,,,obscured,,,,,,
relative,,,,,,5-6 mm,,,,,,,,,,,,redistribution,,,,,,increased in volume,,,,,,,,,extends off the film,,,,,,
not dilated,,,,,,57 x 46 cm,,,,,,,,,,,,asymmetric,,,,,,increased in size from prior,,,,,,,,,no previous images,,,,,,
lateral peaking,,,,,,up to 10 mm,,,,,,,,,,,,not well seen,,,,,,increased in extension,,,,,,,,,extending out of the field of view,,,,,,
ground glass,,,,,,32 cm above the carina,,,,,,,,,,,,as well,,,,,,hyperexpanded,,,,,,,,,varying degrees of rotation,,,,,,
symmetrical,,,,,,25cm,,,,,,,,,,,,predominantly,,,,,,gradually progressing,,,,,,,,,limited by underpenetration,,,,,,
slightly deep,,,,,,53 cm,,,,,,,,,,,,similar to multiple prior exams,,,,,,gradual increase,,,,,,,,,patient positioning/rotation,,,,,,
even,,,,,,5-cm,,,,,,,,,,,,since the radiograph from the prior day,,,,,,further enlargement,,,,,,,,,consider decubitus views,,,,,,
top normal,,,,,,26 cm from the carina,,,,,,,,,,,,similar compared to the study from,,,,,,further elevation,,,,,,,,,patient in the upright position,,,,,,
misaligned,,,,,,39 cm above the carina,,,,,,,,,,,,almost unchanged,,,,,,further,,,,,,,,,arm projecting over,,,,,,
partly loculated,,,,,,at least 2 cm,,,,,,,,,,,,no appreciable progression,,,,,,evolving,,,,,,,,,left cp angle is excluded,,,,,,
distorts,,,,,,46 cm,,,,,,,,,,,,maturing,,,,,,even more conspicuous,,,,,,,,,suboptimal,,,,,,
marked,,,,,,09-cm,,,,,,,,,,,,comparable to yesterdays image,,,,,,engorged,,,,,,,,,limitations of the study technique,,,,,,
severe,,,,,,trace,,,,,,,,,,,,compared to the preoperative radiograph,,,,,,edematous,,,,,,,,,superimposed on the dialysis catheter,,,,,,
distortion,,,,,,4 cm from the carina,,,,,,,,,,,,as on prior study,,,,,,dramatic,,,,,,,,,oblique views would be necessary,,,,,,
small caliber,,,,,,55 cm,,,,,,,,,,,,stably enlarged,,,,,,disproportional increase,,,,,,,,,dedicated rib series scan be performed,,,,,,
tenting,,,,,,hypoinflated,,,,,,,,,,,,no interval development or increase,,,,,,developed,,,,,,,,,ap portable view,,,,,,
symmetrically expanded,,,,,,40 cm,,,,,,,,,,,,extensive,,,,,,denser than on the previous image,,,,,,,,,single portable view,,,,,,
local,,,,,,not large,,,,,,,,,,,,not really changed much,,,,,,denser than before,,,,,,,,,should be withdrawn for standard positioning,,,,,,
poor definition,,,,,,not substantial,,,,,,,,,,,,not significantly worsened,,,,,,denser,,,,,,,,,excluded,,,,,,
coalescent,,,,,,substantial increase,,,,,,,,,,,,minimal change,,,,,,decompensated,,,,,,,,,incompletely evaluated due to overlying anterior rib,,,,,,
densely calcified,,,,,,38 cm,,,,,,,,,,,,underlying,,,,,,continues to worsen,,,,,,,,,extending off film,,,,,,
heavily calcified,,,,,,multiple,,,,,,,,,,,,probably paralyzed,,,,,,continues to develop,,,,,,,,,radiograph does not include the lower abdomen,,,,,,
blunting,,,,,,"2, two",,,,,,,,,,,,not narrowed or migrated,,,,,,compared to the prior study,,,,,,,,,differences in technique and patient position,,,,,,
central,,,,,,"one, 1, single",,,,,,,,,,,,comparison with the previous study,,,,,,compared to the prior radiograph,,,,,,,,,single frontal view only,,,,,,
alveolar,,,,,,trace,,,,,,,,,,,,seen already on previous examination,,,,,,compared to the previous image,,,,,,,,,not precisely seen,,,,,,
fragmented,,,,,,"3, three",,,,,,,,,,,,unchanged extent,,,,,,compared to recent prior studies,,,,,,,,,patients chin overlies,,,,,,
biconcave,,,,,,several,,,,,,,,,,,,no progression,,,,,,compared to prior radiograph,,,,,,,,,body habitus,,,,,,
cavitary,,,,,,innumerable,,,,,,,,,,,,stable to slightly increased,,,,,,compared to prior,,,,,,,,,lateral view is limited,,,,,,
linear lucency,,,,,,small,,,,,,,,,,,,changed in distribution but not in overall severity,,,,,,compared to one day prior,,,,,,,,,motion artifact,,,,,,
inhomogeneous,,,,,,numerous,,,,,,,,,,,,present over multiple prior radiographs,,,,,,changed configuration,,,,,,,,,technique,,,,,,
scattered,,,,,,"two leads, two lead",,,,,,,,,,,,similar in configuration,,,,,,appreciably,,,,,,,,,previous xray not interpretable,,,,,,
lobulated,,,,,,"small amount, small quantity",,,,,,,,,,,,remote,,,,,,again,,,,,,,,,obscures portions of the left hemi thorax,,,,,,
anterior wedge,,,,,,35 cm,,,,,,,,,,,,also seen on prior ct,,,,,,advanced distally,,,,,,,,,not visualized,,,,,,
gentle,,,,,,7 cm,,,,,,,,,,,,waxing and waning,,,,,,acutely distended,,,,,,,,,possibly obscured by the pacemaker generator,,,,,,
generalized,,,,,,34 cm,,,,,,,,,,,,adequate comparison for interval change is not possible,,,,,,a little bit more than,,,,,,,,,obscures the upper lungs,,,,,,
leftward,,,,,,45 cm,,,,,,,,,,,,similar prior exams,,,,,,,,,,,,,,,off the radiograph,,,,,,
asymmetric pattern,,,,,,cluster,,,,,,,,,,,,still persists,,,,,,,,,,,,,,,poorly imaged,,,,,,
nondisplaced,,,,,,5 cm,,,,,,,,,,,,normalized,,,,,,,,,,,,,,,portable examination,,,,,,
congested,,,,,,43 cm,,,,,,,,,,,,remain present,,,,,,,,,,,,,,,distal end is beyond the radiographic view,,,,,,
osteophytic spurring,,,,,,54 cm,,,,,,,,,,,,seen on the multiple previous studies,,,,,,,,,,,,,,,obscured on this image,,,,,,
rightward,,,,,,large amount,,,,,,,,,,,,stable on the right,,,,,,,,,,,,,,,below the threshold of detection on chest radiograph,,,,,,
linear structures,,,,,,second,,,,,,,,,,,,termination not unchanged,,,,,,,,,,,,,,,distal tip not well evaluated,,,,,,
hyperexpansion,,,,,,2 cm,,,,,,,,,,,,not undergone any significant interval change,,,,,,,,,,,,,,,distal end is out of the radiographic view,,,,,,
consolidative,,,,,,51 cm,,,,,,,,,,,,no acute new,,,,,,,,,,,,,,,upper part of the chest missing,,,,,,
multiloculated,,,,,,36 cm,,,,,,,,,,,,not significantly,,,,,,,,,,,,,,,partially obscure the view,,,,,,
linear areas of lucency,,,,,,additional,,,,,,,,,,,,no gross interval,,,,,,,,,,,,,,,differences in technique and projection,,,,,,
overall,,,,,,4 cm,,,,,,,,,,,,similar study of the prior day,,,,,,,,,,,,,,,obscuring upper chest,,,,,,
horizontally oriented,,,,,,39 cm,,,,,,,,,,,,minimal,,,,,,,,,,,,,,,blurred due to respiratory motion,,,,,,
lobular,,,,,,approximately 5 cm,,,,,,,,,,,,seen on prior studies,,,,,,,,,,,,,,,partially excluded,,,,,,
dilated,,,,,,33 cm,,,,,,,,,,,,similar in position,,,,,,,,,,,,,,,obscuration by the left hemithorax opacification,,,,,,
atypical,,,,,,substantial,,,,,,,,,,,,remains the same,,,,,,,,,,,,,,,no lateral radiograph was performed,,,,,,
"blunt, blunted, blunting",,,,,,dual lead,,,,,,,,,,,,remains congested,,,,,,,,,,,,,,,repeat film taken before use,,,,,,
"margin, marginated",,,,,,53 cm,,,,,,,,,,,,as on the next previous study,,,,,,,,,,,,,,,no prior studies available for comparison,,,,,,
lucency,,,,,,6 cm,,,,,,,,,,,,existed already earlier,,,,,,,,,,,,,,,additional lateral chest radiograph may be helpful,,,,,,
discrete,,,,,,46 cm,,,,,,,,,,,,existed already at that time,,,,,,,,,,,,,,,no corresponding abnormality on the lateral view,,,,,,
asymmetrical pattern,,,,,,at least,,,,,,,,,,,,slightly pulled back,,,,,,,,,,,,,,,seen only on the frontal view,,,,,,
asymmetrically distributed,,,,,,3 cm,,,,,,,,,,,,probably fairly similar,,,,,,,,,,,,,,,follow up chest radiographs should be obtained,,,,,,
circular,,,,,,few,,,,,,,,,,,,similar to the previous exam,,,,,,,,,,,,,,,consider pulling back by 3 cm for optimal placement,,,,,,
deep,,,,,,loculated,,,,,,,,,,,,identical,,,,,,,,,,,,,,,compared to the prior examination,,,,,,
densely,,,,,,13 cm,,,,,,,,,,,,evaluate for change,,,,,,,,,,,,,,,single portable frontal upright view,,,,,,
fluid filled,,,,,,large,,,,,,,,,,,,similar to the prior exam,,,,,,,,,,,,,,,distal end is beyond the field of view,,,,,,
geographic,,,,,,multilevel,,,,,,,,,,,,without overt,,,,,,,,,,,,,,,best evaluated with an upright chest radiograph when feasible,,,,,,
geographically marginated,,,,,,whole,,,,,,,,,,,,comparison is limited,,,,,,,,,,,,,,,absence of previous images,,,,,,
hypoinflated,,,,,,65 cm,,,,,,,,,,,,comparison across modalities is limited,,,,,,,,,,,,,,,without a lateral view,,,,,,
irregularly,,,,,,38 cm,,,,,,,,,,,,to assess for change,,,,,,,,,,,,,,,dedicated rib series is suggested,,,,,,
linearly,,,,,,x4,,,,,,,,,,,,not appreciated on the prior study,,,,,,,,,,,,,,,semierect portable,,,,,,
overdistended,,,,,,150s,,,,,,,,,,,,similar as it was before,,,,,,,,,,,,,,,excluded from the field of view on the lateral view,,,,,,
symmetrically,,,,,,42 cm,,,,,,,,,,,,since the prior study,,,,,,,,,,,,,,,not seen on ap view,,,,,,
taper,,,,,,some,,,,,,,,,,,,not visualized,,,,,,,,,,,,,,,pa/lateral chest radiographs to confirm,,,,,,
vertically,,,,,,1-2 cm,,,,,,,,,,,,consistently,,,,,,,,,,,,,,,partially evaluated,,,,,,
asymmetrically,,,,,,3l,,,,,,,,,,,,likely present,,,,,,,,,,,,,,,conventional radiographs,,,,,,
,,,,,,40,,,,,,,,,,,,no overt worsening,,,,,,,,,,,,,,,difficult to compare size,,,,,,
,,,,,,dual,,,,,,,,,,,,normally,,,,,,,,,,,,,,,suboptimal to assess complete resolution,,,,,,
,,,,,,80s,,,,,,,,,,,,mildly displaced,,,,,,,,,,,,,,,poorly assessed,,,,,,
,,,,,,9,,,,,,,,,,,,previously described,,,,,,,,,,,,,,,suboptimal due to overlying soft tissues,,,,,,
,,,,,,five,,,,,,,,,,,,no substantial difference,,,,,,,,,,,,,,,suboptimal due to patients overlying arm,,,,,,
,,,,,,48 cm,,,,,,,,,,,,same,,,,,,,,,,,,,,,likely exaggerated due to technique and positioning,,,,,,
,,,,,,no,,,,,,,,,,,,hypoinflated,,,,,,,,,,,,,,,distal aspect not well seen,,,,,,
,,,,,,72 cm,,,,,,,,,,,,remains reduced,,,,,,,,,,,,,,,limited due to extensive underlying metastatic burden,,,,,,
,,,,,,68 cm,,,,,,,,,,,,grossly similar,,,,,,,,,,,,,,,potentially projectional,,,,,,
,,,,,,approximately 10 cm,,,,,,,,,,,,compared to prior,,,,,,,,,,,,,,,exaggerated by low lung volumes and technique,,,,,,
,,,,,,46-53 cm,,,,,,,,,,,,absence,,,,,,,,,,,,,,,supine film,,,,,,
,,,,,,twice,,,,,,,,,,,,without acute findings,,,,,,,,,,,,,,,symmetric and not rotated image acquisition,,,,,,
,,,,,,29 cm,,,,,,,,,,,,since prior radiographs,,,,,,,,,,,,,,,better inspiratory effort may help,,,,,,
,,,,,,25,,,,,,,,,,,,not progressed,,,,,,,,,,,,,,,obscure the lower portion,,,,,,
,,,,,,100,,,,,,,,,,,,compared to the prior exam,,,,,,,,,,,,,,,positional differences may contribute,,,,,,
,,,,,,dual channel,,,,,,,,,,,,little if any,,,,,,,,,,,,,,,accounting for patient and technical factors,,,,,,
,,,,,,scores,,,,,,,,,,,,also present on prior radiographs,,,,,,,,,,,,,,,patient is somewhat rotated,,,,,,
,,,,,,bilateral,,,,,,,,,,,,seen over several prior studies,,,,,,,,,,,,,,,for further evaluation and localization,,,,,,
,,,,,,52 cm,,,,,,,,,,,,does not layer,,,,,,,,,,,,,,,overlap with rib limits this assessment,,,,,,
,,,,,,x2,,,,,,,,,,,,consistent with a previous study,,,,,,,,,,,,,,,excluded from the film,,,,,,
,,,,,,5 units,,,,,,,,,,,,entirely,,,,,,,,,,,,,,,ap projection,,,,,,
,,,,,,41 cm,,,,,,,,,,,,low lung volumes,,,,,,,,,,,,,,,confirmation with a repeat pa view with nipple markers is recommended,,,,,,
,,,,,,moderate,,,,,,,,,,,,same day earlier,,,,,,,,,,,,,,,underpenetration of soft tissues,,,,,,
,,,,,,tiny,,,,,,,,,,,,interval appearance,,,,,,,,,,,,,,,overlap of the pacer wires,,,,,,
,,,,,,28 cm,,,,,,,,,,,,similar to,,,,,,,,,,,,,,,interpretation difficult,,,,,,
,,,,,,extensive,,,,,,,,,,,,compared to 45 minutes earlier,,,,,,,,,,,,,,,obscures the left apex,,,,,,
,,,,,,55 cm,,,,,,,,,,,,not clearly demonstrated,,,,,,,,,,,,,,,ap upright chest film,,,,,,
,,,,,,92,,,,,,,,,,,,not complications of the procedure,,,,,,,,,,,,,,,poor patient positioning,,,,,,
,,,,,,83 cm,,,,,,,,,,,,tortuous,,,,,,,,,,,,,,,suspected differences in positioning,,,,,,
,,,,,,750 cc,,,,,,,,,,,,unchanged in size,,,,,,,,,,,,,,,rotated somewhat limiting the evaluation,,,,,,
,,,,,,15 mm,,,,,,,,,,,,elevation,,,,,,,,,,,,,,,edge of the film,,,,,,
,,,,,,58 mm,,,,,,,,,,,,relatively,,,,,,,,,,,,,,,limitations of technique,,,,,,
,,,,,,baseline cr 4,,,,,,,,,,,,previously questioned,,,,,,,,,,,,,,,left lateral views,,,,,,
,,,,,,4,,,,,,,,,,,,still ends,,,,,,,,,,,,,,,not well visualized on this study,,,,,,
,,,,,,72,,,,,,,,,,,,similar in appearance to prior shoulder radiograph,,,,,,,,,,,,,,,tip not clearly visualized,,,,,,
,,,,,,2 kg,,,,,,,,,,,,neither increased nor decreased,,,,,,,,,,,,,,,essential component to evaluate,,,,,,
,,,,,,2 additional,,,,,,,,,,,,without significant change,,,,,,,,,,,,,,,fluoroscopic control,,,,,,
,,,,,,biventricular,,,,,,,,,,,,no acute,,,,,,,,,,,,,,,artifact due to overlying soft tissues,,,,,,
,,,,,,foci,,,,,,,,,,,,as seen on the prior radiograph,,,,,,,,,,,,,,,portable technique,,,,,,
,,,,,,52 cm above the carina,,,,,,,,,,,,as seen on the prior chest radiograph,,,,,,,,,,,,,,,should be further advanced,,,,,,
,,,,,,27 cm,,,,,,,,,,,,as on prior,,,,,,,,,,,,,,,tip is excluded from view,,,,,,
,,,,,,"1 lead, leads, lead",,,,,,,,,,,,well inflated,,,,,,,,,,,,,,,rotated positioning,,,,,,
,,,,,,minimal decrease,,,,,,,,,,,,inflated,,,,,,,,,,,,,,,limited evaluation due to respiratory motion,,,,,,
,,,,,,a few centimeters,,,,,,,,,,,,no interval progression,,,,,,,,,,,,,,,limited evaluation due to motion artifact,,,,,,
,,,,,,minimal,,,,,,,,,,,,not appreciated,,,,,,,,,,,,,,,lateral view could be obtained,,,,,,
,,,,,,borderline enlarged,,,,,,,,,,,,significantly increased,,,,,,,,,,,,,,,standard placement,,,,,,
,,,,,,,,,,,,,,,,,,probably chronic,,,,,,,,,,,,,,,pa and lateral,,,,,,
,,,,,,,,,,,,,,,,,,not changed since prior ct,,,,,,,,,,,,,,,rotation,,,,,,
,,,,,,,,,,,,,,,,,,one day prior,,,,,,,,,,,,,,,not identified on this film,,,,,,
,,,,,,,,,,,,,,,,,,no evidence,,,,,,,,,,,,,,,repeat fully upright,,,,,,
,,,,,,,,,,,,,,,,,,dating back through,,,,,,,,,,,,,,,supine positioning,,,,,,
,,,,,,,,,,,,,,,,,,better seen on prior exam,,,,,,,,,,,,,,,tip not clearly seen on the current examination,,,,,,
,,,,,,,,,,,,,,,,,,unchanged from previous examination,,,,,,,,,,,,,,,may be due to overlying soft tissue,,,,,,
,,,,,,,,,,,,,,,,,,throughout,,,,,,,,,,,,,,,dedicated pa and lateral suggested,,,,,,
,,,,,,,,,,,,,,,,,,as on the prior occasion,,,,,,,,,,,,,,,side port not clearly identified,,,,,,
,,,,,,,,,,,,,,,,,,minimal interval change,,,,,,,,,,,,,,,tip off the inferior field of view,,,,,,
,,,,,,,,,,,,,,,,,,free,,,,,,,,,,,,,,,below the field of view,,,,,,
,,,,,,,,,,,,,,,,,,similar as on the preceding,,,,,,,,,,,,,,,not visualized on this study,,,,,,
,,,,,,,,,,,,,,,,,,most recently,,,,,,,,,,,,,,,no prior chest radiographs available for review,,,,,,
,,,,,,,,,,,,,,,,,,no evidence of significantly increased,,,,,,,,,,,,,,,identified on the lateral view,,,,,,
,,,,,,,,,,,,,,,,,,not improved appreciably,,,,,,,,,,,,,,,secondary to positioning,,,,,,
,,,,,,,,,,,,,,,,,,similar in appearance compared to prior,,,,,,,,,,,,,,,due to recumbency,,,,,,
,,,,,,,,,,,,,,,,,,no increase,,,,,,,,,,,,,,,upright views are sensitive,,,,,,
,,,,,,,,,,,,,,,,,,probable stability,,,,,,,,,,,,,,,off the inferior margin of the film,,,,,,
,,,,,,,,,,,,,,,,,,no additional newly appeared,,,,,,,,,,,,,,,ap frontal and left lateral view,,,,,,
,,,,,,,,,,,,,,,,,,unchanged on the left,,,,,,,,,,,,,,,artifactual due to rightward rotation,,,,,,
,,,,,,,,,,,,,,,,,,no significant interval,,,,,,,,,,,,,,,without clear correlate on the frontal view,,,,,,
,,,,,,,,,,,,,,,,,,without acute process,,,,,,,,,,,,,,,without clear correlate on frontal radiograph,,,,,,
,,,,,,,,,,,,,,,,,,no interval worsening,,,,,,,,,,,,,,,exaggerated by portable technique,,,,,,
,,,,,,,,,,,,,,,,,,returned to the size it was,,,,,,,,,,,,,,,for further assessment,,,,,,
,,,,,,,,,,,,,,,,,,similarly positioned,,,,,,,,,,,,,,,outside of the field of view,,,,,,
,,,,,,,,,,,,,,,,,,persistently enlarged,,,,,,,,,,,,,,,differences in technique and inspiration,,,,,,
,,,,,,,,,,,,,,,,,,not migrated,,,,,,,,,,,,,,,technically limited examination,,,,,,
,,,,,,,,,,,,,,,,,,no visible change,,,,,,,,,,,,,,,difficult to assess given severe chest cage deformity by virtue of scoliosis,,,,,,
,,,,,,,,,,,,,,,,,,similar to prior ct,,,,,,,,,,,,,,,excluded from view,,,,,,
,,,,,,,,,,,,,,,,,,similar to prior examinations,,,,,,,,,,,,,,,study does not include a dedicated rib series,,,,,,
,,,,,,,,,,,,,,,,,,no larger today,,,,,,,,,,,,,,,sensitivity is low on routine chest radiography,,,,,,
,,,,,,,,,,,,,,,,,,been present,,,,,,,,,,,,,,,partially obscured,,,,,,
,,,,,,,,,,,,,,,,,,no interval development,,,,,,,,,,,,,,,better assessment,,,,,,
,,,,,,,,,,,,,,,,,,similar to that seen on,,,,,,,,,,,,,,,radiographic examination,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,overlay by multiple metallic devices,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not well assessed with this technique,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not well evaluated on this single frontal projection,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,for further evaluation,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited examination due to extremely low lung volumes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,patient is rotated with respect to the film,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not entirely included on the current examination,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,poor inspiratory effort,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmed or excluded by standard pa and lateral radiographs,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lateral view recommended,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partially obscured by the overlying pacemaker generator,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,best seen on the lateral view,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,due to patients body habitus and by rotation of the patient,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,artifact secondary to patient rotation,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited due to patients body habitus,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,underpenetration,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,patient body habitus,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tip not well visualized,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited due to motion despite repeat image,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,could be advanced by approximately 5-10 cm,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a view of the upper abdomen must be obtained using abdominal technique,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recommend repeat dedicated ap and lateral views,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not as well evaluated on the lateral view,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,better appreciated on the lateral than on the frontal radiograph,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not available for comparison,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,obscured by overlying monitoring lines,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not appreciated on the lateral view,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no prior examinations for comparison,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suggest dedicated rib series,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,more optimal inspiratory effort,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited by overlying trauma board,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dedicated shoulder films can further characterize,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limitations of this study technique,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,difference in radiographic technique,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pa and lateral may offer additional detail,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,excluded on the frontal view,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ct scanning is indicated,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tip projects off the inferior borders of the film,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limits evaluation of the lungs,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,difficult to detect pneumothorax,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ap upright portable,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not central,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tip out of view of the radiograph,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not included in the image,,,,,,
